fold,level,hierarchy,class,precision,recall,f1,support
P6,crop,guide,NC_1,0.012658227848101266,0.002976190476190476,0.004819277108433735,3024
P6,crop,guide,NC_2,0.04869565217391304,0.009259259259259259,0.015559877743817728,3024
P6,crop,guide,NC_3,0.010416666666666666,0.0036375661375661374,0.005392156862745098,3024
P6,crop,guide,NC_4,0.07055555555555555,0.0419973544973545,0.052653399668325045,3024
P6,crop,guide,NC_5,0.009722222222222222,0.0023148148148148147,0.0037393162393162395,3024
P6,crop,guide,NC_6,0.01606135146867313,0.03670634920634921,0.022345244086562657,3024
P6,crop,guide,WT NC_1,0.018583787247677026,0.01917989417989418,0.01887713588283157,3024
P6,crop,guide,WT NC_2,0.3019406392694064,0.17493386243386244,0.22152428810720268,3024
P6,crop,guide,WT NC_3,0.113384484228474,0.08796296296296297,0.09906890130353818,3024
P6,crop,guide,WT NC_4,0.04136789851075565,0.0248015873015873,0.031010957204879057,3024
P6,crop,guide,WT NC_5,0.036736641221374045,0.05092592592592592,0.042682926829268296,3024
P6,crop,guide,WT NC_6,0.2808943089430894,0.22850529100529102,0.25200583515681985,3024
P6,crop,guide,dnaB_1,0.0007158196134574087,0.0006613756613756613,0.0006875214850464077,3024
P6,crop,guide,dnaB_2,0.01237224314147391,0.007605820105820105,0.009420438255171002,3024
P6,crop,guide,dnaB_3,0.0017064846416382253,0.00033068783068783067,0.000554016620498615,3024
P6,crop,guide,dnaE_1,0.025073746312684365,0.022486772486772486,0.023709902370990237,3024
P6,crop,guide,dnaE_2,0.031061659712563746,0.022156084656084655,0.025863732870102296,3024
P6,crop,guide,dnaE_3,0.08547008547008547,0.03968253968253968,0.05420054200542006,3024
P6,crop,guide,folA_1,0.03292361720807726,0.0248015873015873,0.02829121086382497,3024
P6,crop,guide,folA_2,0.13893376413570274,0.19907407407407407,0.1636536631779258,3024
P6,crop,guide,folA_3,0.12017593643586832,0.2800925925925926,0.1681890389197776,3024
P6,crop,guide,folP_1,0.04969778374748153,0.02447089947089947,0.032794150232661204,3024
P6,crop,guide,folP_2,0.13989637305699482,0.026785714285714284,0.044962531223980015,3024
P6,crop,guide,folP_3,0.0,0.0,0.0,3024
P6,crop,guide,ftsI_1,0.14571301643713905,0.10846560846560846,0.12436018957345972,3024
P6,crop,guide,ftsI_2,0.0797514241325738,0.05092592592592592,0.062159434914228054,3024
P6,crop,guide,ftsI_3,0.21767241379310345,0.1335978835978836,0.16557377049180327,3024
P6,crop,guide,ftsZ_1,0.3908278050187482,0.4480820105820106,0.41750115544600214,3024
P6,crop,guide,ftsZ_2,0.3315455875182838,0.22486772486772486,0.26798029556650244,3024
P6,crop,guide,ftsZ_3,0.3354581673306773,0.4176587301587302,0.37207247017233763,3024
P6,crop,guide,gyrA_1,0.07017167381974249,0.10813492063492064,0.08511192087454451,3024
P6,crop,guide,gyrA_2,0.023755656108597284,0.006944444444444444,0.010747185261003071,3024
P6,crop,guide,gyrA_3,0.03478583807873236,0.09292328042328042,0.05062150963790308,3024
P6,crop,guide,gyrB_1,0.030482256596906277,0.022156084656084655,0.025660666411336654,3024
P6,crop,guide,gyrB_2,0.0361094933022714,0.0205026455026455,0.026154819658299938,3024
P6,crop,guide,gyrB_3,0.049168207024029575,0.04398148148148148,0.04643044161284692,3024
P6,crop,guide,lptA_1,0.10124410124410124,0.07804232804232804,0.08814192343604109,3024
P6,crop,guide,lptA_2,0.19546313799621928,0.17096560846560846,0.18239548421238314,3024
P6,crop,guide,lptA_3,0.047386120452461024,0.05125661375661376,0.04924543288324067,3024
P6,crop,guide,lptC_1,0.13372345036844388,0.20403439153439154,0.16156061796281748,3024
P6,crop,guide,lptC_2,0.30033557046979864,0.23677248677248677,0.26479289940828404,3024
P6,crop,guide,lptC_3,0.19143263419836473,0.35615079365079366,0.24901734104046241,3024
P6,crop,guide,lpxA_1,0.1351714862138534,0.06646825396825397,0.0891154954555531,3024
P6,crop,guide,lpxA_2,0.05742821473158552,0.04563492063492063,0.05085682697622996,3024
P6,crop,guide,lpxA_3,0.020928116469517744,0.022817460317460316,0.021831988609397248,3024
P6,crop,guide,lpxC_1,0.18319107025607353,0.2767857142857143,0.22046621888581588,3024
P6,crop,guide,lpxC_2,0.3177720540888603,0.3263888888888889,0.32202283849918434,3024
P6,crop,guide,lpxC_3,0.22055349308133648,0.4322089947089947,0.29206703910614523,3024
P6,crop,guide,mrcA_1,0.053532524120759414,0.056878306878306875,0.05515472182138849,3024
P6,crop,guide,mrcA_2,0.050728277247614265,0.2003968253968254,0.08096192384769539,3024
P6,crop,guide,mrcA_3,0.38474295190713104,0.30687830687830686,0.34142752023546724,3024
P6,crop,guide,mrcB_1,0.018854329290260596,0.05191798941798942,0.027662760990221125,3024
P6,crop,guide,mrcB_2,0.024006622516556293,0.00958994708994709,0.013705103969754254,3024
P6,crop,guide,mrcB_3,0.0,0.0,0.0,3024
P6,crop,guide,mrdA_1,0.5961876097316278,0.7860449735449735,0.6780773070888604,3024
P6,crop,guide,mrdA_2,0.6055149127743388,0.3558201058201058,0.4482399500104145,3024
P6,crop,guide,mrdA_3,0.6839246922519913,0.6246693121693122,0.652955409609402,3024
P6,crop,guide,msbA_1,0.01529051987767584,0.0016534391534391533,0.0029841838257236644,3024
P6,crop,guide,msbA_2,0.0198744769874477,0.006283068783068783,0.009547738693467337,3024
P6,crop,guide,msbA_3,0.018268467037331215,0.01521164021164021,0.016600505232767952,3024
P6,crop,guide,murA_1,0.13047285464098074,0.09854497354497355,0.11228334589299171,3024
P6,crop,guide,murA_2,0.5655409273039497,0.6534391534391535,0.60632095734888,3024
P6,crop,guide,murA_3,0.4238833181403829,0.15376984126984128,0.22567338024751274,3024
P6,crop,guide,murC_1,0.1554907677356657,0.21164021164021163,0.1792717086834734,3024
P6,crop,guide,murC_2,0.06192660550458716,0.03571428571428571,0.04530201342281879,3024
P6,crop,guide,murC_3,0.07242739333094299,0.0667989417989418,0.06949939790125581,3024
P6,crop,guide,parC_1,0.02798708288482239,0.008597883597883597,0.013154566152289401,3024
P6,crop,guide,parC_2,0.001199040767386091,0.0006613756613756613,0.0008525149190110827,3024
P6,crop,guide,parC_3,0.0012004801920768306,0.00033068783068783067,0.0005185377236193933,3024
P6,crop,guide,parE_1,0.018796992481203006,0.00496031746031746,0.007849293563579277,3024
P6,crop,guide,parE_2,0.025735294117647058,0.004629629629629629,0.007847533632286996,3024
P6,crop,guide,parE_3,0.0035587188612099642,0.0006613756613756613,0.0011154489682097045,3024
P6,crop,guide,rplA_1,0.15685431886549206,0.1207010582010582,0.13642309848626424,3024
P6,crop,guide,rplA_2,0.021124471888202795,0.021494708994708994,0.021307982297983936,3024
P6,crop,guide,rplA_3,0.013942307692307693,0.00958994708994709,0.011363636363636364,3024
P6,crop,guide,rplC_1,0.19150779896013864,0.21924603174603174,0.20444033302497688,3024
P6,crop,guide,rplC_2,0.20413389427473935,0.36904761904761907,0.26286656459780944,3024
P6,crop,guide,rplC_3,0.046911913601079984,0.045965608465608467,0.046433940203774844,3024
P6,crop,guide,rpoA_1,0.23820967257434664,0.2622354497354497,0.24964583661262396,3024
P6,crop,guide,rpoA_2,0.16875177708274097,0.392526455026455,0.23603102008351562,3024
P6,crop,guide,rpoA_3,0.17121942510266025,0.31712962962962965,0.2223768115942029,3024
P6,crop,guide,rpoB_1,0.2284057971014493,0.1302910052910053,0.16592966940408507,3024
P6,crop,guide,rpoB_2,0.0005027652086475615,0.00033068783068783067,0.00039896269698783165,3024
P6,crop,guide,rpoB_3,0.14984894259818732,0.24603174603174602,0.1862561021404431,3024
P6,crop,guide,rpsA_1,0.0033178500331785005,0.0033068783068783067,0.0033123550844650546,3024
P6,crop,guide,rpsA_2,0.0010465724751439038,0.0006613756613756613,0.0008105369807497467,3024
P6,crop,guide,rpsA_3,0.05366788639135738,0.10185185185185185,0.07029556088097684,3024
P6,crop,guide,rpsL_1,0.1246641590542719,0.15343915343915343,0.13756300029647198,3024
P6,crop,guide,rpsL_2,0.00025081514923501377,0.00033068783068783067,0.0002852660105548424,3024
P6,crop,guide,rpsL_3,0.021532722956934553,0.0419973544973545,0.028468953149518045,3024
P6,crop,guide,secA_1,0.033396946564885496,0.046296296296296294,0.038802660753880266,3024
P6,crop,guide,secA_2,0.09745965809234702,0.20171957671957672,0.1314230313476247,3024
P6,crop,guide,secA_3,0.05136416036889971,0.13260582010582012,0.0740467177545933,3024
P6,crop,guide,secY_1,0.05235828645607962,0.040013227513227514,0.04536082474226804,3024
P6,crop,guide,secY_2,0.07511497189575882,0.09722222222222222,0.08475064860190257,3024
P6,crop,guide,secY_3,0.0498220640569395,0.05092592592592592,0.05036794766966476,3024
P6,crop,gene,NC,0.15968742036864012,0.10361552028218694,0.12568105090751078,18144
P6,crop,gene,WT NC,0.5617827084927315,0.48561507936507936,0.5209294075913444,18144
P6,crop,gene,dnaB,0.06776102309601069,0.039131393298059966,0.04961218643001886,9072
P6,crop,gene,dnaE,0.06982305117168819,0.04828042328042328,0.0570869990224829,9072
P6,crop,gene,folA,0.15264660663298923,0.22982804232804233,0.1834499142140689,9072
P6,crop,gene,folP,0.10209637898175879,0.04133597883597884,0.05884660651235779,9072
P6,crop,gene,ftsI,0.3608810864524677,0.24018959435626103,0.2884182660489742,9072
P6,crop,gene,ftsZ,0.7885381880857482,0.8068783068783069,0.7976028330155271,9072
P6,crop,gene,gyrA,0.10013213918660989,0.15035273368606702,0.12020798448929232,9072
P6,crop,gene,gyrB,0.12673716012084593,0.09248236331569665,0.10693346928371145,9072
P6,crop,gene,lptA,0.2839820540802716,0.25815696649029984,0.2704544142271494,9072
P6,crop,gene,lptC,0.5804816223067174,0.8077601410934744,0.6755162241887905,9072
P6,crop,gene,lpxA,0.11479059412828718,0.09093915343915344,0.10148225598130266,9072
P6,crop,gene,lpxC,0.45856922285126095,0.6875,0.5501698054955233,9072
P6,crop,gene,mrcA,0.1551989072904217,0.3005952380952381,0.2047066771759937,9072
P6,crop,gene,mrcB,0.043893317586851686,0.049162257495590826,0.04637862008007071,9072
P6,crop,gene,mrdA,0.8918601923528032,0.8381834215167548,0.8641891123991363,9072
P6,crop,gene,msbA,0.04840831360168377,0.020282186948853614,0.028586964965431522,9072
P6,crop,gene,murA,0.6394181818181818,0.4845679012345679,0.5513262682636233,9072
P6,crop,gene,murC,0.422707827494508,0.40299823633156967,0.4126177980926584,9072
P6,crop,gene,parC,0.041107871720116616,0.015542328042328041,0.022556390977443608,9072
P6,crop,gene,parE,0.09138655462184873,0.01917989417989418,0.031705539358600585,9072
P6,crop,gene,rplA,0.24425440940673437,0.20149911816578484,0.22082628654264316,9072
P6,crop,gene,rplC,0.393121426168853,0.5153218694885362,0.44600267124594545,9072
P6,crop,gene,rpoA,0.3487221247807567,0.6136463844797179,0.4447196037705704,9072
P6,crop,gene,rpoB,0.43841456388984906,0.41942239858906527,0.428708241789195,9072
P6,crop,gene,rpsA,0.1329707426856714,0.15630511463844798,0.1436967977300365,9072
P6,crop,gene,rpsL,0.23098405232600866,0.3464506172839506,0.2771727148463336,9072
P6,crop,gene,secA,0.09853215029028371,0.19830246913580246,0.13165020124405416,9072
P6,crop,gene,secY,0.10390725633319021,0.10670194003527336,0.10528605612355885,9072
P6,crop,pathway,10-formyltetrahydrofolate biosynthetic process,0.15264660663298923,0.22982804232804233,0.1834499142140689,9072
P6,crop,pathway,DNA replication,0.06776102309601069,0.039131393298059966,0.04961218643001886,9072
P6,crop,pathway,DNA topological change,0.267463689358759,0.2983906525573192,0.2820820090658052,18144
P6,crop,pathway,DNA-templated DNA replication,0.06982305117168819,0.04828042328042328,0.0570869990224829,9072
P6,crop,pathway,Gram-negative-bacterium-type cell outer membrane assembly,0.6580422595946529,0.7569444444444444,0.7040369088811995,18144
P6,crop,pathway,WT NC,0.49054885821466293,0.37116953262786595,0.4225900070593772,36288
P6,crop,pathway,bacterial-type flagellum assembly,0.5072434362699346,0.6889329805996472,0.5842896206791782,18144
P6,crop,pathway,cell division,0.7041011509158697,0.5984898589065256,0.6470141361178556,36288
P6,crop,pathway,cell wall organization,0.3959075755834004,0.5694444444444444,0.4670780497728352,18144
P6,crop,pathway,cell wall repair,0.043893317586851686,0.049162257495590826,0.04637862008007071,9072
P6,crop,pathway,chromosome organization,0.09138655462184873,0.01917989417989418,0.031705539358600585,9072
P6,crop,pathway,chromosome segregation,0.041107871720116616,0.015542328042328041,0.022556390977443608,9072
P6,crop,pathway,cytoplasmic translation,0.40855041583613994,0.4914021164021164,0.4461625070369675,36288
P6,crop,pathway,folic acid biosynthetic process,0.10209637898175879,0.04133597883597884,0.05884660651235779,9072
P6,crop,pathway,intracellular protein transmembrane transport,0.1677304707332995,0.2549052028218695,0.20232731090598888,18144
P6,crop,pathway,lipid A biosynthetic process,0.34067731383490474,0.39032186948853614,0.3638138292407274,18144
P6,crop,pathway,lipid translocation,0.04840831360168377,0.020282186948853614,0.028586964965431522,9072
P6,crop,family,Cell wall,0.3338573556180705,0.44477513227513227,0.38141601285565746,27216
P6,crop,family,DNA,0.15887769284225156,0.10080467372134039,0.12334772052872943,18144
P6,crop,family,Folate,0.17441726286637432,0.1666115520282187,0.17042507610779117,18144
P6,crop,family,Fts,0.6372299458259905,0.5380842151675485,0.5834752726729419,18144
P6,crop,family,Gyrase,0.267463689358759,0.2983906525573192,0.2820820090658052,18144
P6,crop,family,LPS,0.6580422595946529,0.7569444444444444,0.7040369088811995,18144
P6,crop,family,Lipid,0.04840831360168377,0.020282186948853614,0.028586964965431522,9072
P6,crop,family,Lipid A,0.34067731383490474,0.39032186948853614,0.3638138292407274,18144
P6,crop,family,Mur,0.5192604998711672,0.4442791005291005,0.4788523226802899,18144
P6,crop,family,RNAP,0.5072434362699346,0.6889329805996472,0.5842896206791782,18144
P6,crop,family,Ribosome,0.40855041583613994,0.4914021164021164,0.4461625070369675,36288
P6,crop,family,Secretion,0.1677304707332995,0.2549052028218695,0.20232731090598888,18144
P6,crop,family,TopoIV,0.1256092988376453,0.036926807760141095,0.05707470823749893,18144
P6,crop,family,Unknown,0.49054885821466293,0.37116953262786595,0.4225900070593772,36288
P6,image,guide,NC_1,0.0,0.0,0.0,21
P6,image,guide,NC_2,0.0,0.0,0.0,21
P6,image,guide,NC_3,0.0,0.0,0.0,21
P6,image,guide,NC_4,0.4,0.09523809523809523,0.15384615384615385,21
P6,image,guide,NC_5,0.0,0.0,0.0,21
P6,image,guide,NC_6,0.015625,0.047619047619047616,0.023529411764705882,21
P6,image,guide,WT NC_1,0.0,0.0,0.0,21
P6,image,guide,WT NC_2,0.5384615384615384,0.3333333333333333,0.4117647058823529,21
P6,image,guide,WT NC_3,0.25,0.14285714285714285,0.18181818181818182,21
P6,image,guide,WT NC_4,0.07142857142857142,0.047619047619047616,0.05714285714285714,21
P6,image,guide,WT NC_5,0.0,0.0,0.0,21
P6,image,guide,WT NC_6,0.3684210526315789,0.3333333333333333,0.35,21
P6,image,guide,dnaB_1,0.0,0.0,0.0,21
P6,image,guide,dnaB_2,0.0,0.0,0.0,21
P6,image,guide,dnaB_3,0.0,0.0,0.0,21
P6,image,guide,dnaE_1,0.0,0.0,0.0,21
P6,image,guide,dnaE_2,0.0,0.0,0.0,21
P6,image,guide,dnaE_3,0.2,0.047619047619047616,0.07692307692307693,21
P6,image,guide,folA_1,0.0,0.0,0.0,21
P6,image,guide,folA_2,0.18181818181818182,0.38095238095238093,0.24615384615384617,21
P6,image,guide,folA_3,0.16417910447761194,0.5238095238095238,0.25,21
P6,image,guide,folP_1,0.0,0.0,0.0,21
P6,image,guide,folP_2,0.0,0.0,0.0,21
P6,image,guide,folP_3,0.0,0.0,0.0,21
P6,image,guide,ftsI_1,0.08333333333333333,0.047619047619047616,0.06060606060606061,21
P6,image,guide,ftsI_2,0.0,0.0,0.0,21
P6,image,guide,ftsI_3,0.5,0.09523809523809523,0.16,21
P6,image,guide,ftsZ_1,0.7727272727272727,0.8095238095238095,0.7906976744186046,21
P6,image,guide,ftsZ_2,0.8,0.38095238095238093,0.5161290322580645,21
P6,image,guide,ftsZ_3,0.5161290322580645,0.7619047619047619,0.6153846153846154,21
